ID,District,pH,TN,P2O5,K2O,OM,Sand,Clay,Silt,Longitude,Latitude,Dataset,SN,Texture_class,B,Zn,Source,Year,Palika,Ward.Numbe,Nepal_cropmask1,lyrid,upper_depth,lower_depth
8B61D7A4,Rukum_west,6.3499999,0.04,28.82,783.6,0.87,68,17,15,82.3418,28.5915,Legacy_Data,24685,Sandy Loam,NA,NA,NLUP,2076,NA,NA,NA,8B61D7A4_1,0,20
8B61FE5C,Nawalparasi,7.5999999,0.13,7,72,2.51,NA,NA,NA,83.6821,27.5738,Legacy_Data,20213,Silt Loam,NA,NA,NLUP,2074,NA,NA,NA,8B61FE5C_1,0,20
8B636B94,Sindhuli,5.56,0.06,276.93,315.3,2.73,51.29,6,42.71,86.3256,27.2019,Legacy_Data,26918,SL,NA,NA,NLUP,2077,NA,NA,NA,8B636B94_1,0,20
8B682B7D,Jhapa,5.0999999,0.09,39.65,4.34,1.56,46.4,10.5,43.1,88.1223,26.7123,Legacy_Data,9339,SL,1.85,0.12,NLUP,2074,NA,NA,NA,8B682B7D_1,0,20
8B6C0C6C,Sindhuli,6.21,0.09,19.51,210.25,2.2,15.1,12,72.9,86.2911,27.1788,Legacy_Data,26941,SiL,NA,NA,NLUP,2077,NA,NA,NA,8B6C0C6C_1,0,20
8B6F0222,Nawalparasi,5.6999998,0.06,41,53.7,3.23,52,11.44,36.56,83.8171,27.5031,Legacy_Data,19184,Loam/Sandy Loam,NA,NA,NLUP,2074,NA,NA,NA,8B6F0222_1,0,20
8B71F870,Rautahat,8.1999998,0.05,47.01,106.28,1.07,68,16,16,85.2668,27.2209,Legacy_Data,23350,sandy loam,0.12,0.83,NLUP,2076,NA,NA,NA,8B71F870_1,0,20
8B76768A,Nawalparasi,7.6999998,0.12,15,48,2.36,NA,NA,NA,83.6922,27.5929,Legacy_Data,20242,Silt Clay Loam,NA,NA,NLUP,2074,NA,NA,NA,8B76768A_1,0,20
8B77519F,Nawalparasi,5.5,0.05,61.5,80.6,3.62,50,12.72,37.28,83.8193,27.5104,Legacy_Data,19142,Loam,NA,NA,NLUP,2074,NA,NA,NA,8B77519F_1,0,20
8B7E2585,Gulmi,5.2,0.24,177,84.32,6.24,65.3,2.5,26.6,83.2426,28.185,Legacy_Data,7829,SL,NA,NA,NLUP,2075,NA,NA,NA,8B7E2585_1,0,20
8B7FAF5D,Jhapa,5.4000001,0.11,45.5,134.4,3.12,16,41,43,87.7733,26.476,Legacy_Data,9352,Silty Clay,0.26,0.8,NLUP,2074,NA,NA,NA,8B7FAF5D_1,0,20
8B804B4A,Dhadhing,5.18,0.11,20.68,159.6,2.24,69.3,17.2,13.5,84.8801,27.7311,Legacy_Data,5539,Sandy loam,NA,NA,NLUP,2077,NA,NA,NA,8B804B4A_1,0,20
8B83E32C,Jhapa,6.5,0.14,30.51,402,2.84,22,29,49,87.9144,26.6069,Legacy_Data,9174,Clayloam,0.6,0.56,NLUP,2074,NA,NA,NA,8B83E32C_1,0,20
8B8B4499,Gorkha,5.02,0.12,16.1,268,2.35,56.72,13.64,29.64,84.7677,27.9832,Legacy_Data,7466,Sandy Loam,NA,NA,NLUP,2077,NA,NA,NA,8B8B4499_1,0,20
8B91EB6E,Sunsari,6.3000002,0.17,28,204,3.32,NA,NA,NA,87.2532,26.7088,Legacy_Data,28518,silty clay loam,0.83,1.12,NLUP,2074,NA,NA,NA,8B91EB6E_1,0,20
8B9267C2,Sunsari,6.8000002,0.07,68,243,1.46,NA,NA,NA,87.2021,26.6925,Legacy_Data,28627,sandy loam,1.16,2.06,NLUP,2074,NA,NA,NA,8B9267C2_1,0,20
8B99921B,Kaski,5.8,0.19,26.32,36.25,3.79,45.6,9,45.4,84.0897,28.2598,Legacy_Data,12629,Loam,NA,NA,NLUP,2075,NA,NA,NA,8B99921B_1,0,20
8B9AB55F,Baitadi,7.7,0.06,126.2,657.2,8.97,12,10,78,80.6097,29.5493,Legacy_Data,960,Silt Loam,NA,NA,NLUP,2076,NA,NA,NA,8B9AB55F_1,0,20
8B9ABC29,Dhanusha,6.6999998,0.07,4.815,13.74,1.21,36.6,19.4,44,85.9561,26.8435,Legacy_Data,6324,L,0.11,0.43,NLUP,2074,NA,NA,NA,8B9ABC29_1,0,20
8B9E06A0,Jajarkot,7.1599998,0.07,13.36,238.8,2.88,72,8,20,82.0176,28.8912,Legacy_Data,8721,Sandy Loam,NA,NA,NLUP,2076,NA,NA,NA,8B9E06A0_1,0,20
8BA03E45,Kailali,5.9000001,0.14,70,134,2.81,11,46,43,80.8488,28.7453,Legacy_Data,10909,Silt Clay Loam,0.03,2.03,NLUP,2074,NA,NA,NA,8BA03E45_1,0,20
8BA51562,Pyuthan,6.27,0.09,324.5,709.4,2.37,60,16,24,82.8851,28.0889,Legacy_Data,22367,Sandy Loam,NA,NA,NLUP,2076,NA,NA,NA,8BA51562_1,0,20
8BA989B1,Kapilvastu,8.8000002,0.11,35.22,495.8,2.19,20.6,14,65.4,82.8856,27.5545,Legacy_Data,11692,SiL,NA,NA,NLUP,2074,NA,NA,NA,8BA989B1_1,0,20
8BAAD501,Myagdi,5.9,0.35,602.633,268.8,7.07,NA,NA,NA,83.4215,28.4004,Legacy_Data,18348,loam,NA,NA,SMD,NA,NA,NA,NA,8BAAD501_1,0,20
8BB0B1BC,Morang,7.4499998,0.1,37.32,308.2,1.87,23.2,7.7,69.1,87.6026,26.5838,Legacy_Data,16154,SiL,0.33,0.02,NLUP,2074,NA,NA,NA,8BB0B1BC_1,0,20
8BB287B9,Bara,7.6999998,0.12,25.33,241.2,2.29,23.12,31.24,45.64,85.0575,27.0764,Legacy_Data,2501,clay loam,NA,NA,NLUP,2074,NA,NA,NA,8BB287B9_1,0,20
8BB6410A,Makwanpur,6.03,0.15,216.5,379.42,8.82,21.28,6,72.72,84.8877,27.6172,Legacy_Data,15493,Silt Loam,NA,NA,NLUP,2077,NA,NA,NA,8BB6410A_1,0,20
8BB998BE,Nawalparasi,7,0.05,1.13,55.06,0.7,38.8,11.5,49.7,83.6527,27.5638,Legacy_Data,18786,Loam,1.21,0.25,NLUP,2074,NA,NA,NA,8BB998BE_1,0,20
8BBC4D69,Panchthar,7.3,0.02,561.59,788.93,1.16,62.47,10,27.53,87.6065,26.9504,Legacy_Data,21102,Sandy Loam,NA,NA,NLUP,2077,NA,NA,NA,8BBC4D69_1,0,20
8BBD7C47,Dolakha,4.75,0.23,20.39,137.99,2.58,NA,NA,NA,86.316,27.6697,Legacy_Data,6764,Loamy Sand,NA,NA,NLUP,2077,NA,NA,NA,8BBD7C47_1,0,20
8BBEEC7B,Baitadi,6.63,0.02,34,981.1,7.41,14,10,76,80.4672,29.4882,Legacy_Data,882,Silt Loam,NA,NA,NLUP,2076,NA,NA,NA,8BBEEC7B_1,0,20
8BC3C89D,Morang,6.0999999,0.04,12.05,80.4,0.82,29.5,1.5,69,87.3214,26.3663,Legacy_Data,16156,SiL,0.81,0.05,NLUP,2074,NA,NA,NA,8BC3C89D_1,0,20
8BC43109,Baglung-Parbat,5.5900002,0.13,14.12,201,2.52,46,2,52,83.5746,28.1612,Legacy_Data,576,SILTY LOAM,NA,NA,NLUP,2076,NA,NA,NA,8BC43109_1,0,20
8BC6EE9E,Morang,6.3000002,0.02,3.11,107.6,0.41,9.2,10.4,80.4,87.641,26.5375,Legacy_Data,15917,Si,1.67,0.02,NLUP,2074,NA,NA,NA,8BC6EE9E_1,0,20
